sounder,date (dd/mm/yyyy),time (hh:mm:ss),latitude (dd;mm;ss.sss h),longitude  (dd;mm;ss.sss h),depth,range (m),time,lat,lon,unnamed: 10,unnamed: 11,unique_id,platform_name,raster_val,has_reference,tid_value,transit_id,outlier,outlier_reason
EA600-18kHz,10/9/22,10:15:47 AM,23;57;31.060 S,52;31;35.423 E,-5088.04,5079.5,2022-09-10 10:15:47,-23.95862778,52.52650639,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:16:01 AM,23;57;29.450 S,52;31;39.030 E,-5088.41,5079.13,2022-09-10 10:16:01,-23.95818056,52.52750833,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:16:14 AM,23;57;27.774 S,52;31;42.596 E,-5086.73,5077.29,2022-09-10 10:16:14,-23.957715,52.52849889,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:16:27 AM,23;57;26.127 S,52;31;46.146 E,-5087.37,5077.92,2022-09-10 10:16:27,-23.9572575,52.529485,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:16:41 AM,23;57;24.460 S,52;31;49.735 E,-5088.08,5078.93,2022-09-10 10:16:41,-23.95679444,52.53048194,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:16:54 AM,23;57;22.815 S,52;31;53.302 E,-5086.84,5078.22,2022-09-10 10:16:54,-23.9563375,52.53147278,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:17:34 AM,23;57;17.860 S,52;32;04.031 E,-5039.14,5029.97,2022-09-10 10:17:34,-23.95496111,52.53445306,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:17:47 AM,23;57;16.176 S,52;32;07.567 E,-5088.78,5079.72,2022-09-10 10:17:47,-23.95449333,52.53543528,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:18:01 AM,23;57;14.554 S,52;32;11.171 E,-5088.22,5078.76,2022-09-10 10:18:01,-23.95404278,52.53643639,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:18:14 AM,23;57;12.958 S,52;32;14.765 E,-5081.2,5071.63,2022-09-10 10:18:14,-23.95359944,52.53743472,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:18:28 AM,23;57;11.277 S,52;32;18.349 E,-5087.82,5078.83,2022-09-10 10:18:28,-23.9531325,52.53843028,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:18:41 AM,23;57;09.617 S,52;32;21.896 E,-5087.75,5078.69,2022-09-10 10:18:41,-23.95267139,52.53941556,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:18:54 AM,23;57;07.955 S,52;32;25.484 E,-5084.37,5075.57,2022-09-10 10:18:54,-23.95220972,52.54041222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:19:08 AM,23;57;06.323 S,52;32;29.078 E,-5087.22,5078.38,2022-09-10 10:19:08,-23.95175639,52.54141056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:19:21 AM,23;57;04.671 S,52;32;32.625 E,-5085.93,5076.76,2022-09-10 10:19:21,-23.9512975,52.54239583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:20:14 AM,23;56;58.036 S,52;32;46.787 E,-5082.15,5073.11,2022-09-10 10:20:14,-23.94945444,52.54632972,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:20:28 AM,23;56;56.428 S,52;32;50.373 E,-5081.33,5072.45,2022-09-10 10:20:28,-23.94900778,52.54732583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:20:41 AM,23;56;54.824 S,52;32;53.960 E,-5081.09,5072.41,2022-09-10 10:20:41,-23.94856222,52.54832222,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:20:54 AM,23;56;53.203 S,52;32;57.507 E,-5080.03,5070.97,2022-09-10 10:20:54,-23.94811194,52.5493075,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:21:08 AM,23;56;51.579 S,52;33;01.066 E,-5079.16,5070.1,2022-09-10 10:21:08,-23.94766083,52.55029611,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:21:21 AM,23;56;49.897 S,52;33;04.621 E,-5071.0,5061.68,2022-09-10 10:21:21,-23.94719361,52.55128361,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:22:28 AM,23;56;41.816 S,52;33;22.272 E,-5075.14,5065.65,2022-09-10 10:22:28,-23.94494889,52.55618667,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:22:41 AM,23;56;40.148 S,52;33;25.771 E,-5074.87,5066.08,2022-09-10 10:22:41,-23.94448556,52.55715861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:22:55 AM,23;56;38.517 S,52;33;29.271 E,-5076.32,5066.87,2022-09-10 10:22:55,-23.9440325,52.55813083,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:23:08 AM,23;56;36.929 S,52;33;32.828 E,-5073.37,5063.66,2022-09-10 10:23:08,-23.94359139,52.55911889,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:23:21 AM,23;56;35.271 S,52;33;36.327 E,-5044.91,5035.89,2022-09-10 10:23:21,-23.94313083,52.56009083,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:23:35 AM,23;56;33.654 S,52;33;39.861 E,-5048.6,5039.34,2022-09-10 10:23:35,-23.94268167,52.5610725,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:23:48 AM,23;56;32.077 S,52;33;43.437 E,-5000.32,4990.59,2022-09-10 10:23:48,-23.94224361,52.56206583,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:15 AM,23;56;28.861 S,52;33;50.492 E,-4968.14,4959.32,2022-09-10 10:24:15,-23.94135028,52.56402556,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:28 AM,23;56;27.208 S,52;33;54.014 E,-4966.16,4956.86,2022-09-10 10:24:28,-23.94089111,52.56500389,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:24:42 AM,23;56;25.581 S,52;33;57.520 E,-4966.34,4957.07,2022-09-10 10:24:42,-23.94043917,52.56597778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:25:35 AM,23;56;19.056 S,52;34;11.630 E,-5004.77,4995.72,2022-09-10 10:25:35,-23.93862667,52.56989722,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:02 AM,23;56;15.863 S,52;34;18.760 E,-5007.3,4997.85,2022-09-10 10:26:02,-23.93773972,52.57187778,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:15 AM,23;56;14.248 S,52;34;22.327 E,-4999.95,4990.79,2022-09-10 10:26:15,-23.93729111,52.57286861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:42 AM,23;56;11.014 S,52;34;29.419 E,-4873.21,4864.27,2022-09-10 10:26:42,-23.93639278,52.57483861,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:26:55 AM,23;56;09.368 S,52;34;32.970 E,-4872.03,4863.31,2022-09-10 10:26:55,-23.93593556,52.575825,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:09 AM,23;56;07.741 S,52;34;36.527 E,-4881.17,4871.9,2022-09-10 10:27:09,-23.93548361,52.57681306,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:22 AM,23;56;06.143 S,52;34;40.105 E,-4889.28,4880.37,2022-09-10 10:27:22,-23.93503972,52.57780694,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:35 AM,23;56;04.516 S,52;34;43.659 E,-4891.32,4882.57,2022-09-10 10:27:35,-23.93458778,52.57879417,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
EA600-18kHz,10/9/22,10:27:49 AM,23;56;02.878 S,52;34;47.246 E,-4897.89,4888.5,2022-09-10 10:27:49,-23.93413278,52.57979056,,,unknown_vessel,unknown,,False,,unknown_vessel_T000,False,
